,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
129,2021,3,Jujuy,111,0.0,111
130,2021,3,La Pampa,100,116.0,100
131,2021,3,La Rioja,82,3.0,82
132,2021,3,Mendoza,255,619.0,256
133,2021,3,Misiones,159,0.0,159
134,2021,3,Neuquén,139,373.0,140
135,2021,3,Río Negro,144,501.0,145
136,2021,3,Salta,196,2.0,196
137,2021,3,San Juan,79,256.0,79
138,2021,3,San Luis,118,148.0,118
139,2021,3,Santa Cruz,49,197.0,49
140,2021,3,Santa Fe,841,151.0,842
141,2021,3,Santiago Del Estero,115,1.0,115
142,2021,3,Tierra Del Fuego,50,289.0,50
143,2021,3,Tucumán,232,25.0,232
144,2021,2,Buenos Aires,4,5.0,4
145,2021,2,Capital Federal,1,2.0,1
146,2021,2,Catamarca,56,1.0,56
147,2021,2,Chaco,141,3.0,141
148,2021,2,Chubut,138,825.0,139
149,2021,2,Córdoba,931,62.0,931
150,2021,2,Corrientes,129,3.0,130
151,2021,2,Entre Ríos,258,15.0,258
152,2021,2,Formosa,52,0.0,52
153,2021,2,Jujuy,112,0.0,112
154,2021,2,La Pampa,98,116.0,98
155,2021,2,La Rioja,82,3.0,82
156,2021,2,Mendoza,229,619.0,230
157,2021,2,Misiones,156,0.0,156
158,2021,2,Neuquén,138,373.0,138
159,2021,2,Río Negro,144,501.0,144
160,2021,2,Salta,192,2.0,192
161,2021,2,San Juan,79,256.0,79
162,2021,2,San Luis,123,148.0,123
163,2021,2,Santa Cruz,49,197.0,49
164,2021,2,Santa Fe,840,151.0,841
165,2021,2,Santiago Del Estero,114,1.0,114
166,2021,2,Tierra Del Fuego,35,289.0,36
167,2021,2,Tucumán,233,25.0,233
168,2021,1,Buenos Aires,4,5.0,4
169,2021,1,Capital Federal,1,1.0,1
170,2021,1,Catamarca,52,1.0,52
171,2021,1,Chaco,140,3.0,140
172,2021,1,Chubut,132,825.0,132
173,2021,1,Córdoba,911,55.0,911
174,2021,1,Corrientes,127,3.0,127
175,2021,1,Entre Ríos,252,13.0,252
176,2021,1,Formosa,51,0.0,51
177,2021,1,Jujuy,110,0.0,110
178,2021,1,La Pampa,97,116.0,97
179,2021,1,La Rioja,53,3.0,53
180,2021,1,Mendoza,218,615.0,219
181,2021,1,Misiones,149,0.0,149
182,2021,1,Neuquén,133,373.0,133
183,2021,1,Río Negro,141,501.0,141
184,2021,1,Salta,188,2.0,188
185,2021,1,San Juan,78,256.0,78
186,2021,1,San Luis,119,148.0,119
187,2021,1,Santa Cruz,46,197.0,46
188,2021,1,Santa Fe,826,137.0,826
189,2021,1,Santiago Del Estero,112,1.0,112
190,2021,1,Tierra Del Fuego,40,289.0,40
191,2021,1,Tucumán,232,22.0,232
192,2020,4,Buenos Aires,4,5.0,4
193,2020,4,Capital Federal,1,1.0,1
194,2020,4,Catamarca,52,1.0,52
195,2020,4,Chaco,139,3.0,139
196,2020,4,Chubut,130,825.0,131
197,2020,4,Córdoba,903,55.0,903
198,2020,4,Corrientes,126,3.0,126
199,2020,4,Entre Ríos,247,13.0,247
200,2020,4,Formosa,50,0.0,50
201,2020,4,Jujuy,106,0.0,106
202,2020,4,La Pampa,97,116.0,97
203,2020,4,La Rioja,53,3.0,53
204,2020,4,Mendoza,215,615.0,215
205,2020,4,Misiones,147,0.0,147
206,2020,4,Neuquén,133,373.0,133
207,2020,4,Río Negro,141,501.0,141
208,2020,4,Salta,187,2.0,187
209,2020,4,San Juan,72,256.0,73
210,2020,4,San Luis,119,148.0,119
211,2020,4,Santa Cruz,40,197.0,41
212,2020,4,Santa Fe,821,137.0,821
213,2020,4,Santiago Del Estero,107,1.0,107
214,2020,4,Tierra Del Fuego,39,289.0,40
215,2020,4,Tucumán,231,22.0,231
216,2020,3,Buenos Aires,4,5.0,4
217,2020,3,Capital Federal,1,1.0,1
218,2020,3,Catamarca,50,1.0,50
219,2020,3,Chaco,134,3.0,134
220,2020,3,Chubut,129,825.0,130
221,2020,3,Córdoba,867,55.0,867
222,2020,3,Corrientes,123,3.0,123
223,2020,3,Entre Ríos,241,13.0,241
224,2020,3,Formosa,49,0.0,49
225,2020,3,Jujuy,107,0.0,107
226,2020,3,La Pampa,94,116.0,94
227,2020,3,La Rioja,53,3.0,53
228,2020,3,Mendoza,207,615.0,208
229,2020,3,Misiones,143,0.0,143
230,2020,3,Neuquén,129,373.0,129
