,Año,Trimestre,Provincia,Hasta 512 kbps,Entre 1 Mbps y 6 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Entre 512 Kbps y 1 Mbps,Entre 6 Mbps y 10 Mbps,Más de 30 Mbps,Otros
60,2018.0,2.0,La Rioja,9.0,148.57100000000003,553.092,20.0,2.383,4.198,2.0,3.0
61,2018.0,2.0,Mendoza,20.0,513.247,266.0,27.0,14.645,515.0,56.0,33.808
62,2018.0,2.0,Misiones,48.0,199.774,609.1610000000001,464.435,6.092,23.569000000000003,119.971,0.0
63,2018.0,2.0,Neuquén,1.396,962.128,211.232,233.23,2.408,1314.0,6.648,7.285
64,2018.0,2.0,Río Negro,409.0,75.05600000000001,928.567,133.563,202.101,523.0,4.911,4.081
65,2018.0,2.0,Salta,116.0,858.126,28.431,374.885,134.859,33.285,83.0,0.0
66,2018.0,2.0,San Juan,22.0,923.724,0.0,3.0,121.258,11.0,0.0,5.096
67,2018.0,2.0,San Luis,57.0,318.685,0.0,9.0,101.0,11.0,0.0,9.298
68,2018.0,2.0,Santa Cruz,26.0,171.45700000000002,100.0,1.0,120.0,655.0,3.0,4.9
69,2018.0,2.0,Santa Fe,744.0,262.603,176.539,74.587,34.267,157.098,484.676,22.218
70,2018.0,2.0,Santiago Del Estero,41.0,1299.1029999999998,3.278,33.0,909.809,18.721,1.0,17.594
71,2018.0,2.0,Tierra Del Fuego,6.0,85.867,75.0,0.0,188.0,198.021,0.0,1.309
72,2018.0,2.0,Tucumán,16.0,916.062,27.059,1.084,7.734,44.968,152.0,1.412
73,2018.0,3.0,Buenos Aires,991.0,0.0,645.081,901.913,80.459,279.716,529.039,120.987
74,2018.0,3.0,Capital Federal,73.0,521.685,377.668,416.035,23.478,264.136,155.0,0.0
75,2018.0,3.0,Catamarca,34.0,324.169,114.211,34.0,2.9930000000000003,212.152,7.0,2.004
76,2018.0,3.0,Chaco,70.0,260.197,469.885,685.41,3.503,24.916,961.438,1.035
77,2018.0,3.0,Chubut,67.0,704.482,531.0,623.0,8.946,174.993,164.0,1.142
78,2018.0,3.0,Córdoba,81.0,224.471,223.982,120.333,24.767,96.372,30.921,8.996
79,2018.0,3.0,Corrientes,11.0,280.119,489.128,184.181,6.754,24.953,644.687,0.0
80,2018.0,3.0,Entre Ríos,18.0,96.095,680.703,236.889,10.047,46.65,408.223,546.0
81,2018.0,3.0,Formosa,1.11,1063.582,27.318,618.112,194.174,7.257,1.389,8.0
82,2018.0,3.0,Jujuy,345.0,240.836,4.066000000000001,39.0,743.279,7.756,10.0,38.0
83,2018.0,3.0,La Pampa,242.0,463.112,920.0,2.188,8.417,100.056,168.0,780.0
84,2018.0,3.0,La Rioja,9.0,147.54,567.862,20.0,2.29,4.138,2.0,3.0
85,2018.0,3.0,Mendoza,20.0,528.794,504.227,37.0,14.512,1140.337,115.0,0.0
86,2018.0,3.0,Misiones,48.0,199.902,506.726,459.229,5.749,24.747,121.25,0.0
87,2018.0,3.0,Neuquén,1.396,937.939,218.59,257.984,492.753,86.562,6.924,6.888
88,2018.0,3.0,Río Negro,409.0,75.929,790.136,141.364,148.078,512.0,5.194,3.707
89,2018.0,3.0,Salta,116.0,851.1650000000001,25.582,379.867,134.59,32.782,227.0,0.0
90,2018.0,3.0,San Juan,22.0,65.522,312.0,3.0,3.324,180.0,1.0,112.0
91,2018.0,3.0,San Luis,57.0,576.612,119.0,65.0,109.0,148.844,0.0,1.961
92,2018.0,3.0,Santa Cruz,26.0,175.672,206.0,1.0,116.0,778.0,3.0,54.0
93,2018.0,3.0,Santa Fe,467.0,269.211,163.54399999999998,86.54100000000001,36.786,304.718,957.209,16.439
94,2018.0,3.0,Santiago Del Estero,41.0,1319.9989999999998,657.152,66.0,909.642,498.636,13.0,258.0
95,2018.0,3.0,Tierra Del Fuego,6.0,86.524,231.0,24.0,187.0,198.074,13.0,1.264
96,2018.0,3.0,Tucumán,16.0,903.736,98.99,941.0,6.992,68.257,246.0,126.0
97,2018.0,4.0,Buenos Aires,134.673,0.0,586.67,954.466,73.761,741.878,639.927,19.125
98,2018.0,4.0,Capital Federal,74.0,375.189,339.487,438.667,22.373,253.199,166.553,0.0
99,2018.0,4.0,Catamarca,34.0,319.653,114.352,29.0,1.669,212.219,7.0,2.003
100,2018.0,4.0,Chaco,69.0,521.951,404.579,610.794,3.405,26.632,948.697,0.0
101,2018.0,4.0,Chubut,66.0,763.3629999999999,531.0,623.0,7.913,205.016,164.0,1.144
102,2018.0,4.0,Córdoba,81.0,228.475,203.637,130.06,24.102,97.277,36.355,8.903
103,2018.0,4.0,Corrientes,10.0,711.701,401.112,136.561,6.438,26.562,676.894,0.0
104,2018.0,4.0,Entre Ríos,18.0,94.78,570.46,195.968,8.769,172.904,404.544,13.693
105,2018.0,4.0,Formosa,1.11,334.65,25.011000000000003,595.498,193.883,7.283,1.446,0.0
106,2018.0,4.0,Jujuy,27.0,340.417,5.02,30.0,108.697,8.809999999999999,14.0,43.573
107,2018.0,4.0,La Pampa,241.0,571.007,978.0,1.328,7.727,264.4,197.0,923.0
108,2018.0,4.0,La Rioja,9.0,146.179,527.693,17.0,1.164,4.088,5.0,3.0
109,2018.0,4.0,Mendoza,20.0,450.197,505.225,29.0,12.452,1158.337,115.0,0.0
110,2018.0,4.0,Misiones,47.0,206.104,416.828,394.188,5.981,26.019,128.51,0.0
111,2018.0,4.0,Neuquén,1.328,1334.03,262.211,197.963,359.687,99.683,7.384,6.287
112,2018.0,4.0,Río Negro,384.0,83.41199999999999,704.748,100.505,97.129,643.0,5.532,3.094
113,2018.0,4.0,Salta,49.0,259.291,22.91,378.493,4.658,36.365,2.285,0.0
114,2018.0,4.0,San Juan,22.0,62.80800000000001,312.0,1.0,2.464,180.0,1.0,606.0
115,2018.0,4.0,San Luis,57.0,561.6209999999999,119.0,64.0,109.0,149.087,0.0,23.635
116,2018.0,4.0,Santa Cruz,25.0,165.96399999999997,206.0,1.0,115.0,779.0,3.0,531.0
