,Año,Trimestre,Provincia,Velocidad,Conexiones
97,2018.0,4.0,Capital Federal,Hasta 512 kbps,74.0
98,2018.0,4.0,Catamarca,Hasta 512 kbps,34.0
99,2018.0,4.0,Chaco,Hasta 512 kbps,69.0
100,2018.0,4.0,Chubut,Hasta 512 kbps,66.0
101,2018.0,4.0,Córdoba,Hasta 512 kbps,81.0
102,2018.0,4.0,Corrientes,Hasta 512 kbps,10.0
103,2018.0,4.0,Entre Ríos,Hasta 512 kbps,18.0
104,2018.0,4.0,Formosa,Hasta 512 kbps,1.11
105,2018.0,4.0,Jujuy,Hasta 512 kbps,27.0
106,2018.0,4.0,La Pampa,Hasta 512 kbps,241.0
107,2018.0,4.0,La Rioja,Hasta 512 kbps,9.0
108,2018.0,4.0,Mendoza,Hasta 512 kbps,20.0
109,2018.0,4.0,Misiones,Hasta 512 kbps,47.0
110,2018.0,4.0,Neuquén,Hasta 512 kbps,1.328
111,2018.0,4.0,Río Negro,Hasta 512 kbps,384.0
112,2018.0,4.0,Salta,Hasta 512 kbps,49.0
113,2018.0,4.0,San Juan,Hasta 512 kbps,22.0
114,2018.0,4.0,San Luis,Hasta 512 kbps,57.0
115,2018.0,4.0,Santa Cruz,Hasta 512 kbps,25.0
116,2018.0,4.0,Santa Fe,Hasta 512 kbps,335.0
117,2018.0,4.0,Santiago Del Estero,Hasta 512 kbps,39.0
118,2018.0,4.0,Tierra Del Fuego,Hasta 512 kbps,6.0
119,2018.0,4.0,Tucumán,Hasta 512 kbps,16.0
120,2019.0,1.0,Buenos Aires,Hasta 512 kbps,162.513
121,2019.0,1.0,Capital Federal,Hasta 512 kbps,74.0
122,2019.0,1.0,Catamarca,Hasta 512 kbps,34.0
123,2019.0,1.0,Chaco,Hasta 512 kbps,69.0
124,2019.0,1.0,Chubut,Hasta 512 kbps,66.0
125,2019.0,1.0,Córdoba,Hasta 512 kbps,81.0
126,2019.0,1.0,Corrientes,Hasta 512 kbps,10.0
127,2019.0,1.0,Entre Ríos,Hasta 512 kbps,18.0
128,2019.0,1.0,Formosa,Hasta 512 kbps,1.11
129,2019.0,1.0,Jujuy,Hasta 512 kbps,27.0
130,2019.0,1.0,La Pampa,Hasta 512 kbps,236.0
131,2019.0,1.0,La Rioja,Hasta 512 kbps,9.0
132,2019.0,1.0,Mendoza,Hasta 512 kbps,20.0
133,2019.0,1.0,Misiones,Hasta 512 kbps,47.0
134,2019.0,1.0,Neuquén,Hasta 512 kbps,1.328
135,2019.0,1.0,Río Negro,Hasta 512 kbps,384.0
136,2019.0,1.0,Salta,Hasta 512 kbps,49.0
137,2019.0,1.0,San Juan,Hasta 512 kbps,22.0
138,2019.0,1.0,San Luis,Hasta 512 kbps,57.0
139,2019.0,1.0,Santa Cruz,Hasta 512 kbps,25.0
140,2019.0,1.0,Santa Fe,Hasta 512 kbps,333.0
141,2019.0,1.0,Santiago Del Estero,Hasta 512 kbps,39.0
142,2019.0,1.0,Tierra Del Fuego,Hasta 512 kbps,6.0
143,2019.0,1.0,Tucumán,Hasta 512 kbps,16.0
144,2019.0,2.0,Buenos Aires,Hasta 512 kbps,199.768
145,2019.0,2.0,Capital Federal,Hasta 512 kbps,74.0
146,2019.0,2.0,Catamarca,Hasta 512 kbps,34.0
147,2019.0,2.0,Chaco,Hasta 512 kbps,69.0
148,2019.0,2.0,Chubut,Hasta 512 kbps,66.0
149,2019.0,2.0,Córdoba,Hasta 512 kbps,81.0
150,2019.0,2.0,Corrientes,Hasta 512 kbps,10.0
151,2019.0,2.0,Entre Ríos,Hasta 512 kbps,18.0
152,2019.0,2.0,Formosa,Hasta 512 kbps,1.11
153,2019.0,2.0,Jujuy,Hasta 512 kbps,27.0
154,2019.0,2.0,La Pampa,Hasta 512 kbps,236.0
155,2019.0,2.0,La Rioja,Hasta 512 kbps,9.0
156,2019.0,2.0,Mendoza,Hasta 512 kbps,20.0
157,2019.0,2.0,Misiones,Hasta 512 kbps,47.0
158,2019.0,2.0,Neuquén,Hasta 512 kbps,302.0
159,2019.0,2.0,Río Negro,Hasta 512 kbps,384.0
160,2019.0,2.0,Salta,Hasta 512 kbps,49.0
161,2019.0,2.0,San Juan,Hasta 512 kbps,22.0
162,2019.0,2.0,San Luis,Hasta 512 kbps,57.0
163,2019.0,2.0,Santa Cruz,Hasta 512 kbps,25.0
164,2019.0,2.0,Santa Fe,Hasta 512 kbps,321.0
165,2019.0,2.0,Santiago Del Estero,Hasta 512 kbps,39.0
166,2019.0,2.0,Tierra Del Fuego,Hasta 512 kbps,6.0
167,2019.0,2.0,Tucumán,Hasta 512 kbps,16.0
168,2019.0,3.0,Buenos Aires,Hasta 512 kbps,256.902
169,2019.0,3.0,Capital Federal,Hasta 512 kbps,105.0
170,2019.0,3.0,Catamarca,Hasta 512 kbps,34.0
171,2019.0,3.0,Chaco,Hasta 512 kbps,69.0
172,2019.0,3.0,Chubut,Hasta 512 kbps,74.0
173,2019.0,3.0,Córdoba,Hasta 512 kbps,83.0
174,2019.0,3.0,Corrientes,Hasta 512 kbps,10.0
175,2019.0,3.0,Entre Ríos,Hasta 512 kbps,19.0
176,2019.0,3.0,Formosa,Hasta 512 kbps,1.11
177,2019.0,3.0,Jujuy,Hasta 512 kbps,27.0
178,2019.0,3.0,La Pampa,Hasta 512 kbps,237.0
179,2019.0,3.0,La Rioja,Hasta 512 kbps,9.0
180,2019.0,3.0,Mendoza,Hasta 512 kbps,21.0
181,2019.0,3.0,Misiones,Hasta 512 kbps,47.0
182,2019.0,3.0,Neuquén,Hasta 512 kbps,45.0
183,2019.0,3.0,Río Negro,Hasta 512 kbps,47.0
184,2019.0,3.0,Salta,Hasta 512 kbps,49.0
185,2019.0,3.0,San Juan,Hasta 512 kbps,22.0
