,Provincia,Partido,Localidad,Link Indec,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Mas de 30 Mbps,Otros
681,BUENOS AIRES,Tres De Febrero,El Libertador,6840010,0,7,81,107,25,22,1634,0
682,BUENOS AIRES,Tres De Febrero,Jose Ingenieros,6840010,0,21,44,65,16,3,713,0
683,BUENOS AIRES,Tres De Febrero,Loma Hermosa,6840010,0,68,516,386,122,15,1449,0
684,BUENOS AIRES,Tres De Febrero,Martín Coronado,6840010,1,18,127,98,24,3,3039,0
685,BUENOS AIRES,Tres De Febrero,Pablo Podestá,6840010,0,33,392,999,594,25,881,4
686,BUENOS AIRES,Tres De Febrero,Remedios De Escalada,6840010,0,21,70,89,32,3,6372,0
687,BUENOS AIRES,Tres De Febrero,Saenz Peña,6840010,1,21,83,150,56,3,1586,0
688,BUENOS AIRES,Tres De Febrero,Santos Lugares,6840010,0,29,144,185,64,7,2042,0
689,BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),6840010,0,22,99,184,43,3125,3384,0
690,BUENOS AIRES,Tres De Febrero,Villa Raffo,6840010,0,16,81,63,6,3,823,0
691,BUENOS AIRES,Tres Lomas,Tres Lomas,6847020,0,0,773,500,90,0,2,0
692,BUENOS AIRES,Vicente López,Carapachay,6861010,1,69,294,324,209,14,2253,1
693,BUENOS AIRES,Vicente López,Florida,6861010,2,77,362,811,538,65,5784,1
694,BUENOS AIRES,Vicente López,Florida Oeste,6861010,6,2,153,234,47,24,3178,0
695,BUENOS AIRES,Vicente López,La Lucila,6861010,1,19,131,103,82,7,989,0
696,BUENOS AIRES,Vicente López,Munro,6861010,10,64,290,483,111,77,5861,8
697,BUENOS AIRES,Vicente López,Olivos,6861010,3,102,449,701,464,1036,7886,11
698,BUENOS AIRES,Vicente López,Vicente López,6861010,0,41,94,168,132,149,2621,15
699,BUENOS AIRES,Vicente López,Villa Adelina,6861010,0,0,1,31,1,9,1011,0
700,BUENOS AIRES,Vicente López,Villa Martelli,6861010,1,31,426,664,326,1144,3636,4
701,BUENOS AIRES,Villa Gesell,Villa Gesell,6868020,0,0,1967,7285,152,62,1323,1
702,BUENOS AIRES,Villarino,Argerich,6875010,0,0,28,1,0,0,0,0
703,BUENOS AIRES,Villarino,Country Los Medanos,6875025,0,0,244,23,0,0,0,0
704,BUENOS AIRES,Villarino,Juan Cousté  (Est. Algarrobo),6875040,0,0,75,7,0,0,0,0
705,BUENOS AIRES,Villarino,Mayor Buratovich,6875050,0,0,168,384,47,26,8,0
706,BUENOS AIRES,Villarino,Médanos,6875060,0,0,379,184,336,0,0,0
707,BUENOS AIRES,Villarino,Pedro Luro,6875070,0,0,750,5,791,1499,145,0
708,BUENOS AIRES,Villarino,Teniente Origone,6875080,0,0,160,10,4,0,0,0
709,BUENOS AIRES,Zárate,Lima,6882040,0,0,0,4,0,1,0,4
710,BUENOS AIRES,Zárate,Zárate,6882050,5,78,814,856,4971,1269,5136,705
711,CABA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000010,516,5096,31320,64653,36336,61172,210480,511
712,CABA,OTROS,OTROS,Sin Datos,0,0,0,0,0,0,0,106261
713,CATAMARCA,Ambato,El Bolsón,10007030,1,0,0,0,0,0,0,1
714,CATAMARCA,Ambato,El Rodeo,10007040,1,5,100,0,0,0,0,47
715,CATAMARCA,Ambato,La Puerta,10007060,5,0,0,0,0,0,0,0
716,CATAMARCA,Ambato,Las Chacritas,10007070,1,0,0,0,0,0,0,0
717,CATAMARCA,Ambato,Los Talas,10007100,0,0,66,0,0,0,0,0
718,CATAMARCA,Ambato,Los Varela,10007110,1,0,0,0,0,0,0,0
719,CATAMARCA,Ancasti,Ancasti,10014010,1,0,0,0,0,0,0,0
720,CATAMARCA,Andalgalá,Aconquija,10021010,1,0,0,0,0,0,0,0
721,CATAMARCA,Andalgalá,Andalgalá,10021020,2,32,171,523,438,0,0,0
722,CATAMARCA,Andalgalá,Chaquiago,10021030,1,0,0,23,0,0,0,0
723,CATAMARCA,Andalgalá,El Alamito,10021050,0,0,20,0,0,0,0,0
724,CATAMARCA,Andalgalá,El Potrero,10021070,0,0,0,13,0,0,0,0
725,CATAMARCA,Andalgalá,La Aguada,10021080,0,0,0,16,0,0,0,0
726,CATAMARCA,Andalgalá,La Mesada,10021010,0,0,0,9,0,0,0,0
727,CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,10028010,0,0,0,0,0,0,0,10
728,CATAMARCA,Belén,Belén,10035020,3,0,30,0,0,0,0,3
729,CATAMARCA,Belén,El Durazno,10035050,0,0,0,0,0,0,0,2
730,CATAMARCA,Belén,Hualfín,10035070,1,0,0,0,0,0,0,0
731,CATAMARCA,Belén,Las Juntas,10035100,0,5,0,0,0,0,0,0
732,CATAMARCA,Belén,Londres,10035110,1,0,20,0,0,0,0,0
733,CATAMARCA,Capayán,Capayán,10042030,1,0,0,0,0,0,0,0
734,CATAMARCA,Capayán,Chumbicha,10042040,1,0,105,312,150,48,0,0
735,CATAMARCA,Capayán,Colonia del Valle,10042050,1,0,0,0,0,0,0,0
736,CATAMARCA,Capayán,Colonia Nueva Coneta,10042060,1,0,8,1,0,9,0,0
737,CATAMARCA,Capayán,Coneta,10042080,1,0,10,0,0,0,0,0
738,CATAMARCA,Capayán,Huillapima,10042100,1,0,5,0,0,9,0,1
739,CATAMARCA,Capayán,Los Angeles,10042110,0,0,5,0,0,0,0,0
740,CATAMARCA,Capayán,Miraflores,10042120,2,0,7,0,0,10,0,0
741,CATAMARCA,Capayán,San Martín,10042130,7,0,0,0,0,0,0,0
742,CATAMARCA,Capital,El Pantanillo,10049020,2,0,1,3,1,0,0,0
743,CATAMARCA,Capital,San Fernando del Valle de Catamarca,10049030,1,256,1886,2596,2883,2294,28588,0
744,CATAMARCA,El Alto,El Alto,10056010,1,0,28,0,0,0,0,0
745,CATAMARCA,El Alto,Tapso,10056050,1,0,0,0,0,0,0,0
746,CATAMARCA,Fray Mamerto Esquiú,El Hueco,10063050,0,0,0,0,0,8,11,0
747,CATAMARCA,Fray Mamerto Esquiú,La Carrera,10063050,1,0,0,0,0,0,0,0
748,CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,10063050,0,0,5,0,0,0,0,0
749,CATAMARCA,Fray Mamerto Esquiú,La Tercena,10063050,0,0,5,0,0,0,0,0
750,CATAMARCA,Fray Mamerto Esquiú,San Antonio,10063050,0,0,0,0,0,0,2,0
751,CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,10063050,1,0,0,0,0,0,0,0
752,CATAMARCA,La Paz,Icaño,10070070,1,0,0,0,0,0,0,0
753,CATAMARCA,La Paz,Quirós,10070120,0,0,27,0,0,0,0,0
754,CATAMARCA,La Paz,Recreo,10070140,1,5,17,132,21,0,11,0
755,CATAMARCA,La Paz,San Antonio,10070150,0,0,26,0,0,0,0,0
756,CATAMARCA,OTROS,OTROS,Sin Datos,0,0,0,0,0,0,0,63
757,CATAMARCA,Paclín,La Merced,10077050,4,5,12,48,10,0,0,0
758,CATAMARCA,Paclín,La Viña,10077060,0,0,10,0,0,0,0,0
759,CATAMARCA,Paclín,Las Lajas,10077070,1,0,0,0,0,0,0,0
760,CATAMARCA,Paclín,San Antonio,10077100,1,0,7,0,0,0,0,0
761,CATAMARCA,Pomán,Colpes,10084030,0,0,16,0,0,0,0,0
762,CATAMARCA,Pomán,Mutquin,10084060,1,0,0,0,0,0,0,0
763,CATAMARCA,Pomán,Pomán,10084070,2,0,0,0,0,0,0,0
764,CATAMARCA,Pomán,San Miguel,10084090,0,0,0,0,0,7,0,0
765,CATAMARCA,Pomán,Saujil,10084100,1,0,0,0,0,169,0,0
766,CATAMARCA,Pomán,Siján,10084110,1,0,0,0,0,0,0,0
767,CATAMARCA,Santa María,La Loma,10091100,1,0,0,0,0,0,0,0
768,CATAMARCA,Santa María,San José,10091140,1,0,0,0,0,0,0,0
769,CATAMARCA,Santa María,Santa María,10091150,1,0,0,0,0,0,0,2151
770,CATAMARCA,Santa Rosa,Alijilán,10098010,2,0,0,0,0,0,0,0
771,CATAMARCA,Santa Rosa,Bañado de Ovanta,10098020,1,0,0,0,0,0,0,0
772,CATAMARCA,Santa Rosa,Lavalle,10098040,1,0,0,0,0,0,0,0
773,CATAMARCA,Santa Rosa,Los Altos,10098050,1,0,6,0,0,0,0,0
774,CATAMARCA,Tinogasta,Fiambalá,10105110,1,0,8,0,0,7,0,2
775,CATAMARCA,Tinogasta,Tinogasta,10105180,2,2,100,1189,914,109,0,0
776,CATAMARCA,Valle Viejo,El Bañado,10112030,0,0,0,0,0,3,2,0
777,CATAMARCA,Valle Viejo,El Portezuelo,10112010,6,0,0,0,0,0,0,0
778,CATAMARCA,Valle Viejo,Polcos,10112030,0,0,0,0,0,55,107,0
779,CATAMARCA,Valle Viejo,Pozo Del Mistol,10112030,0,0,0,0,0,1,15,0
780,CATAMARCA,Valle Viejo,San Isidro,10112040,0,0,5,163,221,169,1244,0
781,CATAMARCA,Valle Viejo,Santa Rosa,10112030,0,0,5,0,0,205,353,0
782,CATAMARCA,Valle Viejo,Sumalao,10112030,0,5,0,0,0,0,1,0
783,CATAMARCA,Valle Viejo,Villa Dolores,10112030,0,0,5,0,0,19,54,0
784,CHACO,12 de Octubre,Gancedo,22036010,2,0,12,74,0,0,0,0
785,CHACO,12 de Octubre,General Capdevila,22036020,0,0,0,26,0,0,0,0
786,CHACO,12 de Octubre,General Pinedo,22036030,2,2,54,505,50,99,4,0
787,CHACO,1º de Mayo,Colonia Benítez,22126020,1,1,25,93,27,0,0,0
788,CHACO,1º de Mayo,Margarita Belén,22126030,0,1,119,257,38,184,0,0
789,CHACO,2 de Abril,Hermoso Campo,22039010,29,0,35,102,0,44,0,0
790,CHACO,2 de Abril,Itín,22039020,0,0,0,516,0,0,0,0
791,CHACO,25 de Mayo,Colonia Aborigen,22168010,0,0,0,46,0,0,0,0
792,CHACO,25 de Mayo,Machagai,22168020,0,2,432,503,50,0,0,0
793,CHACO,9 de Julio,Las Breñas,22105010,1,10,322,863,92,1,2,1
794,CHACO,Almirante Brown,Concepción del Bermejo,22007010,227,136,237,0,0,0,0,0
795,CHACO,Almirante Brown,Los Frentones,22007020,1,0,293,38,11,0,0,0
796,CHACO,Almirante Brown,Pampa del Infierno,22007030,4,0,1208,165,47,0,0,1
797,CHACO,Almirante Brown,Taco Pozo,22007050,3,0,49,199,116,0,0,1
798,CHACO,Bermejo,General Vedia,22014010,1,1,174,112,38,0,0,0
799,CHACO,Bermejo,Isla del Cerrito,22014020,1,0,0,0,0,0,0,0
800,CHACO,Bermejo,La Leonesa,22014030,0,7,301,391,46,0,0,0
801,CHACO,Bermejo,Las Palmas,22014040,1,0,278,0,35,0,0,0
802,CHACO,Bermejo,Puerto Bermejo Nuevo,22014050,0,0,61,0,27,0,0,0
803,CHACO,Bermejo,Puerto Eva Perón,22014070,1,0,54,0,0,0,0,0
804,CHACO,Chacabuco,Charata,22028010,2,10,772,2052,231,167,10,0
805,CHACO,Comandante Fernández,Presidencia Roque Sáenz Peña,22021010,2,73,925,1223,1182,786,222,40
806,CHACO,Fray Justo Santa María de Oro,Chorotis,22043010,0,0,0,0,0,0,0,25
807,CHACO,Fray Justo Santa María de Oro,OTROS,Sin Datos,0,0,0,0,0,0,0,60
808,CHACO,Fray Justo Santa María de Oro,Santa Sylvina,22043020,33,0,0,0,0,0,0,950
809,CHACO,General Belgrano,Corzuela,22049010,1,1,61,118,12,0,0,0
810,CHACO,General Donovan,La Escondida,22056010,2,0,279,182,43,6,1,0
811,CHACO,General Donovan,La Verde,22056020,2,0,470,8,16,1,1,0
812,CHACO,General Donovan,Lapachito,22056030,0,1,0,23,30,7,1,0
813,CHACO,General Donovan,Makallé,22056040,1,0,439,30,5,0,0,0
814,CHACO,General Güemes,El Espinillo,22063010,1,0,0,0,0,0,0,0
815,CHACO,General Güemes,El Sauzal,22063020,0,0,62,0,0,0,0,2
816,CHACO,General Güemes,El Sauzalito,22063030,1,0,0,0,0,0,0,0
817,CHACO,General Güemes,Fortín Lavalle,22063040,0,0,36,0,0,0,0,0
818,CHACO,General Güemes,Fuerte Esperanza,22063050,0,0,3,0,0,0,0,2
819,CHACO,General Güemes,Juan José Castelli,22063060,0,3,505,886,78,0,0,0
820,CHACO,General Güemes,Miraflores,22063070,0,0,305,145,173,4,3,0
821,CHACO,General Güemes,Nueva Pompeya,22063080,3,0,308,2,0,0,0,0
822,CHACO,General Güemes,Villa Río Bermejito,22063100,2,0,180,198,0,0,0,0
823,CHACO,General Güemes,Wichi,22063110,0,0,91,0,0,0,0,2
824,CHACO,Independencia,Avia Terai,22070010,1,1,22,53,17,0,0,0
825,CHACO,Independencia,Campo Largo,22070020,0,0,36,84,13,0,0,3
826,CHACO,Libertad,Colonia Popular,22077010,0,0,0,0,5,0,0,0
827,CHACO,Libertad,Laguna Blanca,22077030,2,0,0,0,6,0,0,0
828,CHACO,Libertad,Puerto Tirol,22077040,0,3,224,348,75,261,0,0
829,CHACO,Libertador General San Martín,Ciervo Petiso,22084010,1,0,0,0,46,0,0,0
830,CHACO,Libertador General San Martín,General José de San Martín,22084020,0,4,256,567,129,990,3258,0
831,CHACO,Libertador General San Martín,La Eduvigis,22084030,1,0,0,0,0,0,0,0
832,CHACO,Libertador General San Martín,Laguna Limpia,22084040,0,0,0,32,49,0,0,0
833,CHACO,Libertador General San Martín,Pampa Almirón,22084050,0,0,11,0,27,0,0,0
834,CHACO,Libertador General San Martín,Pampa del Indio,22084060,2,0,42,60,438,0,0,0
835,CHACO,Libertador General San Martín,Presidencia Roca,22084070,2,0,58,0,73,0,0,0
836,CHACO,Maipú,Tres Isletas,22091010,0,1,98,306,86,0,0,0
837,CHACO,Mayor Luis J. Fontana,Coronel Du Graty,22098010,74,0,161,147,66,0,0,504
838,CHACO,Mayor Luis J. Fontana,Enrique Urién,22098020,0,0,9,0,0,0,0,0
839,CHACO,Mayor Luis J. Fontana,Villa Angela,22098030,0,136,1594,1690,178,50,7,66
840,CHACO,O Higgins,La Clotilde,22112010,33,0,43,0,0,0,0,116
841,CHACO,O Higgins,La Tigra,22112020,1,0,0,0,1,0,0,252
842,CHACO,O Higgins,San Bernardo,22112030,3,0,159,0,0,0,0,38
843,CHACO,OTROS,OTROS,Sin Datos,0,0,0,0,0,0,0,1835
844,CHACO,Presidencia de la Plaza,Presidencia de la Plaza,22119010,0,1,597,144,25,0,1,0
845,CHACO,Quitilipi,Quitilipi,22133010,0,2,290,613,59,1,0,0
846,CHACO,Quitilipi,Villa El Palmar,22133020,0,0,0,69,0,0,0,0
847,CHACO,San Fernando,Barranqueras,22140010,0,0,274,2,1,1,179,0
848,CHACO,San Fernando,Basail,22140020,1,0,85,120,14,1,0,1
849,CHACO,San Fernando,Fontana,22140040,0,0,65,13,151,1,0,0
850,CHACO,San Fernando,OTROS,Sin Datos,3,0,0,0,0,0,0,0
851,CHACO,San Fernando,Puerto Vilelas,22140050,1,0,1,0,0,0,0,0
852,CHACO,San Fernando,Resistencia,22140060,6,400,3485,4405,2774,126,23866,10
853,CHACO,San Lorenzo,Samuhú,22147010,1,0,0,0,0,0,0,0
854,CHACO,San Lorenzo,Villa Berthet,22147020,1,0,384,372,29,0,2,0
855,CHACO,Sargento Cabral,Capitán Solari,22154010,0,0,41,0,30,0,0,0
856,CHACO,Sargento Cabral,Colonia Elisa,22154020,2,0,0,0,0,0,0,0
857,CHACO,Sargento Cabral,Colonias Unidas,22154030,0,0,0,15,0,320,0,0
858,CHACO,Sargento Cabral,Las Garcitas,22154050,1,0,0,49,65,0,0,0
859,CHACO,Tapenagá,Charadai,22161010,1,0,17,0,0,0,0,0
860,CHUBUT,Biedma,Arroyo Verde,26007010,1,0,0,0,0,0,0,2
861,CHUBUT,Biedma,Puerto Madryn,26007020,1,161,4161,6766,4165,7890,6359,10076
862,CHUBUT,Biedma,Puerto Pirámide,26007030,1,0,37,0,0,0,0,0
863,CHUBUT,Biedma,Quinta El Mirador,26007040,0,0,21,1,0,0,0,0
864,CHUBUT,Biedma,Reserva Area Protegida El Doradillo,26007050,0,0,126,1,0,0,0,0
865,CHUBUT,Cushamen,Cholila,26014020,1,0,0,0,0,0,0,0
866,CHUBUT,Cushamen,El Hoyo,26014040,0,120,1159,0,77,0,15,0
867,CHUBUT,Cushamen,El Maitén,26014050,0,246,379,0,0,0,0,0
868,CHUBUT,Cushamen,Epuyén,26014060,0,0,0,1184,0,0,0,0
869,CHUBUT,Cushamen,Gualjaina,26014070,2,0,0,0,0,0,0,0
870,CHUBUT,Cushamen,Lago Puelo,26014090,0,112,728,38,152,0,2,122
871,CHUBUT,Cushamen,Leleque,26014100,1,0,0,0,0,0,0,2
872,CHUBUT,Escalante,Acceso Norte,26021020,0,0,0,0,0,0,0,2
873,CHUBUT,Escalante,Barrio Caleta Cordova,26021020,0,0,0,0,0,0,0,2
874,CHUBUT,Escalante,Comodoro Rivadavia,26021030,40,551,21579,6336,16615,3694,1989,567
875,CHUBUT,Escalante,Diadema Argentina,26021040,0,0,172,0,9,147,0,0
876,CHUBUT,Escalante,Km. 11 - Cuarteles,26021020,0,0,0,0,0,0,0,1
877,CHUBUT,Escalante,Rada Tilly,26021050,0,31,414,1556,545,179,0,1
878,CHUBUT,Florentino Ameghino,Camarones,26028010,1,11,197,0,0,0,0,0
879,CHUBUT,Florentino Ameghino,Garayalde,26028020,0,0,2,0,0,0,0,1
880,CHUBUT,Futaleufú,Corcovado,26035020,2,0,0,0,0,0,0,0
881,CHUBUT,Futaleufú,Esquel,26035030,6,42,6366,2023,1162,36,0,1
882,CHUBUT,Futaleufú,Lago Rosario,26035040,0,0,0,0,0,0,0,1
883,CHUBUT,Futaleufú,Los Cipreses,26035050,0,0,0,0,0,0,0,1
884,CHUBUT,Futaleufú,Trevelín,26035060,2,12,509,234,258,0,0,0
885,CHUBUT,Futaleufú,Villa Futalaufquen,26035070,0,0,0,0,0,0,0,9
886,CHUBUT,Gaiman,28 de Julio,26042040,1,0,0,12,0,1,0,0
887,CHUBUT,Gaiman,Dolavon,26042020,1,0,0,55,0,0,0,50
888,CHUBUT,Gaiman,Gaiman,26042030,2,9,51,164,404,143,100,100
889,CHUBUT,Gaiman,OTROS,Sin Datos,14,0,0,0,0,0,0,0
890,CHUBUT,Gastre,Blancuntre,26049010,1,0,0,0,0,0,0,0
891,CHUBUT,Gastre,El Escorial,26049020,1,0,0,0,0,0,0,0
892,CHUBUT,Gastre,Gastre,26049030,0,0,103,0,0,0,0,0
893,CHUBUT,Gastre,Lagunita Salada,26049040,1,0,7,0,0,0,0,0
894,CHUBUT,Gastre,Yala Laubat,26049050,1,0,0,0,0,0,0,0
895,CHUBUT,Languiñeo,Aldea Epulef,26056010,1,0,5,0,0,0,0,0
896,CHUBUT,Languiñeo,Carrenleufú,26056020,1,0,0,0,0,0,0,0
897,CHUBUT,Languiñeo,Colan Conhue,26056030,1,0,4,0,0,0,0,0
898,CHUBUT,Languiñeo,Paso del Sapo,26056040,1,0,30,0,0,0,0,1
899,CHUBUT,Languiñeo,Tecka,26056050,1,0,0,0,0,0,0,0
900,CHUBUT,Mártires,El Mirasol,26063010,1,0,0,0,0,0,0,0
901,CHUBUT,Mártires,Las Plumas,26063020,1,0,0,0,0,0,0,0
902,CHUBUT,OTROS,OTROS,Sin Datos,0,0,0,0,0,0,0,4837
903,CHUBUT,Paso de Indios,Cerro Cóndor,26070010,1,0,0,0,0,1,0,0
904,CHUBUT,Paso de Indios,Los Altares,26070020,1,0,0,0,0,0,0,2
905,CHUBUT,Paso de Indios,Paso de Indios,26070030,1,0,0,0,0,0,0,0
906,CHUBUT,Rawson,Playa Magagna,26077010,0,0,1703,101,0,0,0,0
907,CHUBUT,Rawson,Playa Unión,26077020,0,9,485,309,418,71,90,30
908,CHUBUT,Rawson,Rawson,26077030,1,27,1147,1863,1835,1845,1987,3540
909,CHUBUT,Rawson,Trelew,26077040,5,142,3745,10087,9082,2749,6957,442
910,CHUBUT,Río Senguer,Aldea Apeleg,26084010,1,1,0,0,0,0,0,0
911,CHUBUT,Río Senguer,Aldea Beleiro,26084020,1,0,0,0,0,0,0,1
912,CHUBUT,Río Senguer,Alto Río Senguer,26084030,2,1,0,0,0,0,0,0
913,CHUBUT,Río Senguer,Doctor Ricardo Rojas,26084040,1,0,0,0,0,0,0,0
914,CHUBUT,Río Senguer,Facundo,26084050,1,0,40,0,0,0,0,1
915,CHUBUT,Río Senguer,Lago Blanco,26084060,1,0,0,0,0,0,0,0
916,CHUBUT,Río Senguer,Río Mayo,26084070,1,0,366,180,0,0,0,221
917,CHUBUT,Sarmiento,Buen Pasto,26091010,1,0,0,0,0,0,0,0
918,CHUBUT,Sarmiento,Sarmiento,26091020,0,139,2868,95,2,0,1,5
919,CHUBUT,Tehuelches,José de San Martín,26098030,1,0,0,0,0,0,0,0
920,CHUBUT,Tehuelches,Río Pico,26098040,1,0,0,0,0,0,0,1
921,CHUBUT,Telsen,Gan Gan,26105010,1,0,11,0,1,0,0,0
922,CHUBUT,Telsen,Telsen,26105020,1,0,42,2,3,3,8,7
923,CORDOBA,Calamuchita,Amboy,14007010,0,0,10,0,0,0,0,0
924,CORDOBA,Calamuchita,Cañada del Sauce,14007030,0,0,0,0,1,0,0,0
925,CORDOBA,Calamuchita,Capilla Vieja,14007040,0,0,5,0,0,0,0,0
926,CORDOBA,Calamuchita,El Corcovado - El Torreón,14007050,0,0,3,0,0,0,0,0
927,CORDOBA,Calamuchita,Embalse,14007060,1,0,1443,732,393,572,82,253
928,CORDOBA,Calamuchita,La Cruz,14007070,0,2,124,237,9,0,0,0
929,CORDOBA,Calamuchita,La Cumbrecita,14007080,0,55,145,0,50,0,0,0
930,CORDOBA,Calamuchita,Las Bajadas,14007090,0,1,33,1,0,0,0,0
931,CORDOBA,Calamuchita,Las Caleras,14007100,0,0,7,0,0,0,0,0
932,CORDOBA,Calamuchita,Los Cóndores,14007110,1,0,819,116,4,0,0,0
933,CORDOBA,Calamuchita,Los Molinos,14007120,0,11,21,11,2,0,0,0
934,CORDOBA,Calamuchita,Los Reartes,14007130,1,1,206,261,313,135,59,0
935,CORDOBA,Calamuchita,Parque Calmayo,14007160,0,28,13,1,0,0,0,0
936,CORDOBA,Calamuchita,Río de los Sauces,14007170,0,0,2,0,0,0,0,0
937,CORDOBA,Calamuchita,San Agustín,14007180,0,111,4,1,0,0,0,0
938,CORDOBA,Calamuchita,San Ignacio (Loteo San Javier),14007190,0,0,2,0,0,0,0,0
939,CORDOBA,Calamuchita,Santa Rosa de Calamuchita,14007210,0,30,2580,2553,817,48,11,8
940,CORDOBA,Calamuchita,Segunda Usina,14007220,0,0,44,21,2,0,0,0
941,CORDOBA,Calamuchita,Villa Alpina,14007240,0,0,2,0,0,0,0,0
942,CORDOBA,Calamuchita,Villa Amancay,14007250,0,0,16,0,0,0,0,0
943,CORDOBA,Calamuchita,Villa Berna,14007260,0,0,13,23,1,0,0,0
944,CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes,14007170,0,0,290,86,19,0,0,5
945,CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (1a. Sección),14007270,0,0,77,154,21,0,0,0
946,CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (3a. Sección),14007170,0,0,8,0,0,0,0,0
947,CORDOBA,Calamuchita,Villa del Dique,14007290,0,272,1073,480,58,1,2,0
948,CORDOBA,Calamuchita,Villa General Belgrano,14007310,1,0,490,536,71,0,1,1
949,CORDOBA,Calamuchita,Villa Quillinzo,14007330,0,0,21,96,7,0,0,0
950,CORDOBA,Calamuchita,Villa Rumipal,14007340,0,0,1048,344,62,2,1,0
951,CORDOBA,Calamuchita,Villa San Miguel,14007170,0,3,4,1,0,0,0,0
952,CORDOBA,Calamuchita,Villa Yacanto,14007360,0,0,5,2,0,0,0,0
953,CORDOBA,Capital,Córdoba,14014010,20,2096,21510,19917,18733,1624,144467,75
954,CORDOBA,Colón,Agua de Oro,14021010,0,115,294,36,55,0,0,0
955,CORDOBA,Colón,Ascochinga,14021020,0,0,46,68,8,0,0,0
956,CORDOBA,Colón,Colonia Caroya,14021050,0,129,880,75,5,5,5330,19
957,CORDOBA,Colón,Colonia Tirolesa,14021060,0,28,410,824,314,2,0,0
958,CORDOBA,Colón,Dumesnil,14021270,0,0,9,9,15,0,0,0
959,CORDOBA,Colón,El Manzano,14021110,0,0,144,0,0,0,1,0
960,CORDOBA,Colón,General Paz,14021130,0,0,15,111,35,0,0,0
961,CORDOBA,Colón,Jesús María,14021140,0,70,738,194,40,3,6021,20
962,CORDOBA,Colón,La Calera,14021150,1,15,851,1175,713,15,269,0
963,CORDOBA,Colón,La Granja,14021160,0,26,176,220,40,0,0,0
964,CORDOBA,Colón,Los Molles,14021180,2,0,0,0,0,0,0,0
965,CORDOBA,Colón,Malvinas Argentinas,14021190,0,4,433,747,386,1,0,0
966,CORDOBA,Colón,Mendiolaza,14021200,0,3,194,621,686,54,329,137
967,CORDOBA,Colón,Mi Granja,14021210,0,0,0,1,0,0,0,0
968,CORDOBA,Colón,OTROS,Sin Datos,0,0,16,0,0,0,0,0
969,CORDOBA,Colón,Pajas Blancas,14021220,0,0,18,0,0,0,0,0
970,CORDOBA,Colón,Río Ceballos,14021230,1,98,476,479,226,11,286,3
971,CORDOBA,Colón,Saldán,14021240,0,2,418,146,480,181,258,1
972,CORDOBA,Colón,Salsipuedes,14021250,0,0,1452,28,2,4,21,0
973,CORDOBA,Colón,Unquillo,14021280,0,73,1728,1208,522,9,51,0
974,CORDOBA,Colón,Villa Allende,14021290,0,9,331,439,658,112,595,0
975,CORDOBA,Colón,Villa Cerro Azul,14021300,0,25,60,10,0,0,0,0
976,CORDOBA,Colón,Villa El Fachinal - Parque Norte - Guiñazú Norte,14021310,1,7,160,167,13,0,0,0
977,CORDOBA,Colón,Villa Los Llanos - Juárez Celman,14021320,0,1,301,858,165,7,14,0
978,CORDOBA,Cruz del Eje,Alto de los Quebrachos,14028010,0,0,6,12,0,0,0,0
979,CORDOBA,Cruz del Eje,Bañado de Soto,14028020,0,0,6,37,0,0,0,0
980,CORDOBA,Cruz del Eje,Cruz de Caña,14028040,0,0,0,10,0,0,0,0
981,CORDOBA,Cruz del Eje,Cruz del Eje,14028050,0,68,1007,2378,90,2,2439,3
982,CORDOBA,Cruz del Eje,El Brete,14028060,0,18,37,142,0,0,0,0
983,CORDOBA,Cruz del Eje,Guanaco Muerto,14028080,0,0,11,25,0,0,0,0
984,CORDOBA,Cruz del Eje,La Banda,14028090,1,0,0,0,0,0,0,0
985,CORDOBA,Cruz del Eje,La Batea,14028100,0,0,0,1,0,0,0,0
986,CORDOBA,Cruz del Eje,La Higuera,14028110,0,0,3,43,1,0,0,0
987,CORDOBA,Cruz del Eje,Las Playas,14028130,0,9,21,76,0,0,0,0
988,CORDOBA,Cruz del Eje,Los Chañaritos,14028140,0,9,3,1,0,0,0,0
989,CORDOBA,Cruz del Eje,Media Naranja,14028150,0,15,36,64,0,0,0,0
990,CORDOBA,Cruz del Eje,Paso Viejo,14028160,0,0,18,132,4,0,0,0
991,CORDOBA,Cruz del Eje,San Marcos Sierra,14028170,0,0,456,223,24,0,0,0
992,CORDOBA,Cruz del Eje,Serrezuela,14028180,0,0,15,260,15,0,0,0
993,CORDOBA,Cruz del Eje,Tuclame,14028190,0,0,2,104,0,0,0,0
994,CORDOBA,Cruz del Eje,Villa de Soto,14028200,2,2,417,1122,262,25,0,0
