,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,BAF,Dial Up
71,2022,4,Catamarca,9.0,11.0,47.0,1.0,2.0,71.0,263,30.0
72,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,5,6.0
73,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,2,2.0
74,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,71,1.0
75,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,144,5.0
76,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,168,904.0
77,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,1,68.0
78,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,155,4.0
79,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,271,22.0
80,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,62,0.0
81,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,118,0.0
82,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,114,171.0
83,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,86,4.0
84,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,291,777.0
85,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,186,0.0
86,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,160,468.0
87,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,162,548.0
88,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,206,5.0
89,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,104,281.0
90,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,135,192.0
91,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,50,198.0
92,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,888,110.0
93,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,119,2.0
94,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,55,312.0
95,2022,4,Chaco,25.0,61.0,47.0,8.0,3.0,144.0,263,30.0
96,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,5,6.0
97,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,2,2.0
98,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,71,1.0
99,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,144,5.0
100,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,168,904.0
101,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,1,68.0
102,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,155,4.0
103,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,271,22.0
104,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,62,0.0
105,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,118,0.0
106,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,114,171.0
107,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,86,4.0
108,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,291,777.0
109,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,186,0.0
110,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,160,468.0
111,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,162,548.0
112,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,206,5.0
113,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,104,281.0
114,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,135,192.0
115,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,50,198.0
116,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,888,110.0
117,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,119,2.0
118,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,55,312.0
119,2022,4,Chubut,45.0,74.0,10.0,31.0,9.0,169.0,263,30.0
120,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,5,6.0
121,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,2,2.0
122,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,71,1.0
123,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,144,5.0
124,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,168,904.0
125,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,1,68.0
126,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,155,4.0
127,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,271,22.0
128,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,62,0.0
129,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,118,0.0
130,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,114,171.0
131,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,86,4.0
132,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,291,777.0
133,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,186,0.0
134,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,160,468.0
135,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,162,548.0
136,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,206,5.0
137,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,104,281.0
138,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,135,192.0
139,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,50,198.0
140,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,888,110.0
141,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,119,2.0
142,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,55,312.0
143,2022,4,Córdoba,152.0,457.0,367.0,62.0,11.0,1.0,263,30.0
144,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,5,6.0
145,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,2,2.0
146,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,71,1.0
147,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,144,5.0
148,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,168,904.0
149,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,1,68.0
150,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,155,4.0
151,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,271,22.0
152,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,62,0.0
153,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,118,0.0
154,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,114,171.0
155,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,86,4.0
156,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,291,777.0
157,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,186,0.0
158,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,160,468.0
159,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,162,548.0
160,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,206,5.0
161,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,104,281.0
162,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,135,192.0
163,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,50,198.0
164,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,888,110.0
165,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,119,2.0
166,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,55,312.0
167,2022,4,Corrientes,34.0,80.0,27.0,9.0,5.0,155.0,263,30.0
168,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,5,6.0
169,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,2,2.0
170,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,71,1.0
171,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,144,5.0
172,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,168,904.0
173,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,1,68.0
174,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,155,4.0
175,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,271,22.0
176,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,62,0.0
177,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,118,0.0
178,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,114,171.0
179,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,86,4.0
180,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,291,777.0
181,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,186,0.0
182,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,160,468.0
183,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,162,548.0
184,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,206,5.0
185,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,104,281.0
186,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,135,192.0
187,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,50,198.0
188,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,888,110.0
189,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,119,2.0
190,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,55,312.0
191,2022,4,Entre Ríos,56.0,136.0,41.0,26.0,13.0,271.0,263,30.0
192,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,5,6.0
193,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,2,2.0
194,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,71,1.0
195,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,144,5.0
196,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,168,904.0
197,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,1,68.0
198,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,155,4.0
199,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,271,22.0
200,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,62,0.0
201,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,118,0.0
202,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,114,171.0
203,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,86,4.0
204,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,291,777.0
205,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,186,0.0
206,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,160,468.0
207,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,162,548.0
208,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,206,5.0
209,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,104,281.0
210,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,135,192.0
211,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,50,198.0
212,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,888,110.0
213,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,119,2.0
214,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,55,312.0
215,2022,4,Formosa,14.0,17.0,13.0,18.0,227.0,62.0,263,30.0
216,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,5,6.0
217,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,2,2.0
218,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,71,1.0
219,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,144,5.0
220,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,168,904.0
221,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,1,68.0
222,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,155,4.0
223,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,271,22.0
224,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,62,0.0
225,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,118,0.0
226,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,114,171.0
227,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,86,4.0
228,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,291,777.0
229,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,186,0.0
230,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,160,468.0
231,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,162,548.0
232,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,206,5.0
233,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,104,281.0
234,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,135,192.0
235,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,50,198.0
236,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,888,110.0
237,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,119,2.0
238,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,55,312.0
239,2022,4,Jujuy,18.0,52.0,43.0,4.0,1.0,118.0,263,30.0
240,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,5,6.0
241,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,2,2.0
242,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,71,1.0
243,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,144,5.0
244,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,168,904.0
245,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,1,68.0
246,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,155,4.0
247,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,271,22.0
248,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,62,0.0
249,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,118,0.0
250,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,114,171.0
251,2022,4,La Pampa,8.0,61.0,25.0,20.0,1.0,114.0,86,4.0
