,Año,Trimestre,Provincia,Tecnologia,Conexiones,Zona,Penetracion cada 100 hab,Penetracion cada 100 hogares
80,2022,1,Formosa,ADSL,16000,Noreste,3.02,12.08
81,2022,1,Jujuy,ADSL,21000,Noroeste,2.63,10.52
82,2022,1,La Pampa,ADSL,8000,Oeste,2.19,8.76
83,2022,1,La Rioja,ADSL,9000,Oeste,2.86,11.44
84,2022,1,Mendoza,ADSL,49000,Oeste,2.81,11.24
85,2022,1,Misiones,ADSL,39000,Noreste,3.05,12.2
86,2022,1,Neuquén,ADSL,28000,Sur,3.86,15.44
87,2022,1,Río Negro,ADSL,39000,Sur,5.12,20.48
88,2022,1,Salta,ADSL,45000,Noroeste,3.12,12.48
89,2022,1,San Juan,ADSL,34000,Oeste,4.16,16.64
90,2022,1,San Luis,ADSL,8000,Oeste,1.48,5.92
91,2022,1,Santa Cruz,ADSL,11000,Sur,3.3,13.2
92,2022,1,Santa Fe,ADSL,213000,Centro,6.26,25.04
93,2022,1,Santiago Del Estero,ADSL,18000,Noreste,1.71,6.84
94,2022,1,Tierra Del Fuego,ADSL,13000,Sur,6.84,27.36
95,2022,1,Tucumán,ADSL,93000,Noroeste,3.78,15.12
96,2021,4,Buenos Aires,ADSL,426000,Centro,2.42,9.68
97,2021,4,Capital Federal,ADSL,111000,Centro,3.56,14.24
98,2021,4,Catamarca,ADSL,16000,Noroeste,4.04,16.16
99,2021,4,Chaco,ADSL,36000,Noreste,3.16,12.64
100,2021,4,Chubut,ADSL,46000,Sur,7.63,30.52
101,2021,4,Córdoba,ADSL,212000,Centro,6.41,25.64
102,2021,4,Corrientes,ADSL,43000,Noreste,3.59,14.36
103,2021,4,Entre Ríos,ADSL,70000,Centro,4.91,19.64
104,2021,4,Formosa,ADSL,17000,Noreste,3.21,12.84
105,2021,4,Jujuy,ADSL,22000,Noroeste,2.76,11.04
106,2021,4,La Pampa,ADSL,8000,Oeste,2.19,8.76
107,2021,4,La Rioja,ADSL,10000,Oeste,3.17,12.68
108,2021,4,Mendoza,ADSL,60000,Oeste,3.45,13.8
109,2021,4,Misiones,ADSL,42000,Noreste,3.28,13.12
110,2021,4,Neuquén,ADSL,29000,Sur,3.99,15.96
111,2021,4,Río Negro,ADSL,42000,Sur,5.51,22.04
112,2021,4,Salta,ADSL,47000,Noroeste,3.26,13.04
113,2021,4,San Juan,ADSL,36000,Oeste,4.4,17.6
